-OR-,-OU-
"Billing Agreement Signup","Cobrança de inscrição de acordo"
"Bonus for first ACH Use","Bônus para primeiro uso ACH"
"Both section above must be complete. ","Ambos seção acima deve ser completa. "
"Buyer Credit Payment","Crédito de Pagamento do Comprador"
"Buyer\'s Tax ID","Comprador \ 's de identificação fiscal"
"Buyer\'s Tax ID Type","Comprador \ 's Tipo de identificação fiscal"
"By default it is ""reports.paypal.com"".","Por padrão é ""reports.paypal.com""."
CNPJ,CNPJ
CPF,CPF
"CVV Entry is Editable","Entrada do CVV é editável"
"CVV2 Check Result by PayPal","CVV2 Check Resultados do PayPal"
"Can not send new order email.","Não é possível enviar novo e-mail de ordem."
"Cannot create target file for reading reports.","Não foi possível criar arquivo para leitura de relatórios."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel API URL personalizada"
Charge-off,"Sem Custo"
Chargeback,Estornou
"Chargeback by customer.","Estornou pelo cliente."
"Checkout with PayPal","Finalizar Pedido com PayPal"
"Choose a secure bundled payment solution for your business.","Escolha uma solução de pagamento incluído seguro para o seu negócio."
City,Cidade
"Click here if you are not redirected within 10 seconds...","Clique aqui se você não é redirecionado em 10 segundos..."
Close,Fechar
Company,Empresa
"Completion Date","Data de Conclusão"
Configure,Configure
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Conecte sua conta comerciante com um gateway compatível com PCI que permite que os clientes pagam sem sair do seu site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Conecte seu comerciante conta com um portal totalmente personalizável que permite que os clientes pagam sem sair do seu site."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Conectando com o servidor SFTP do PayPal SFTP para obter novos relatórios. Deseja continuar?"
Continue,Continuar
"Countries Payment Applicable From","Países de Pagamento Aplicáveis De"
Country,País
"Coupon Redemption","Cupom de Resgate"
Credit,Crédito
"Credit Card Settings","Configuração de Cartão de Crédito"
"Currency Conversion required to cover negative balance","Conversão de moeda obrigatório para cobrir saldo negativo"
Custom,Personalizado
"Custom Endpoint Hostname or IP-Address","Ponto final Personalizado de Hospedagem ou Endereço de IP"
"Custom Path","Caminho Personalizado"
"Customer Information","Informações do Cliente"
"Customer complaint.","Reclamação do Cliente."
"Customer did not include a confirmed address.","Cliente pode não incluir um endereço confirmado."
"Customer triggered a money-back guarantee.","Cliente solicitou garantia de dinheiro de volta (money-back)."
Daily,Diariamente
Debit,Débito
"Debit Card Cash Back","Cartão de Débito Dinheiro de Volta"
"Debit Card Transaction","Transação de Cartão de Débito"
"Debit or Credit","Débito ou Crédito"
"Debug Mode","Modo Debug"
"Direct Payment API","API Pagamento Direto"
Discount,Desconto
"Display Express Checkout in the Payment Information step","Exibir check-out Express na etapa de informações de pagamento"
"Displays on catalog pages and homepage.","Exibir nas páginas de catálogo e página inicial."
"Don't have a PayPal account? Simply enter your email address.","Não possui uma conta PayPal? Basta digitar seu endereço de email."
Dynamic,Dinâmico
"EFT Funding (German banking)","EFT Financiamento (Banco Alemão)"
"Edit Shopping Cart","Editar carrinho de compras"
"Email Address","Endereço de Email"
"Email Associated with PayPal Merchant Account","Email Associado com uma Conta Vendedor PayPal"
"Email Associated with PayPal Merchant Account (Optional)","E-mail associado à conta PayPal Merchant (opcional)"
"Enable Automatic Fetching","Habilitar Busca Automática"
"Enable Express Checkout","Habilitar o Express Checkout"
"Enable PayPal Guest Checkout","Habilitar Compra Usando PayPal Como Visitante"
"Enable Payflow Link","Habilitar Payflow Link"
"Enable SSL verification","Habilitar verificação de SSL"
"Enable this Solution","Habilitar esta solução"
Enabled,Habilitado
Event,Evento
"Event Code","Código do Evento"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 3 days","A cada 3 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"Every 7 days","A cada 7 dias"
"Exact Match. Address and Postal Code. International","combinação exata. endereço e CEP. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Combinação exata. endereço e CEP. Específico UK"
"Exact Match. Address and nine-digit ZIP code","Combinação Exata. Endereço e CEP"
"Express Checkout","Express Checkout"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout and Order have been canceled.","Express Checkout e pedidos foram cancelados."
"Express Checkout has been canceled.","Express Checkout foi cancelado."
"Failed to fetch reports from '%s@%s'.","Erro ao recuperar relatórios de '%s@%s'."
Fax,Fax
"Fee Amount","Valor da Taxa"
"Fee Debit or Credit","Taxa do Cartão de Débito"
"Fee Reversal","Taxa de Reversão"
"Fee: Foreign ACH Withdrawal","Taxa: Retirada ACH Estrangeiros"
"Fee: Mass Pay Request","Taxa: Pedido em Massa de Pagamento"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Conta Mensal para Pagamentos Pro"
"Fee: WorldLink Check Withdrawal","Taxa: Verificar Retirada WorldLink"
Fetch,Buscar
"Fetch Updates","Buscar Atualizações"
"Fetched %s report rows from '%s@%s'.","Encontrado %s linhas de relatórios para '%s@%s'."
"For Virtual Quotes Only","Virtual citações só"
"Frontend Experience Settings","Configurações de Experiência Frontend"
Funding,Financiamento
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendos)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos da Conta PayPal para Outro)"
"General (Purchase with a credit card)","Geral (Comprar com cartão de crédito)"
"General Adjustment without businessrelated event","Ajustes Gerais sem eventos relacionados a negócios"
"General Currency Conversion","Conversão Geral de Moeda"
"General Funding of PayPal Account ","Financiamento Geral da Conta PayPal"
"General Redemption","Resgate Geral"
"General Withdrawal from PayPal Account","Retirada Geral da Conta do PayPal"
"General. Product no longer supported","Geral. Produto não é mais suportado"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Usar a conta do PayPal para comprar assim como receber pagamentos"
"General: Withdrawal from PayPal Account","Geral: Retirada da Conta do PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Retirada para uma Entidade Não Bancária"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajustes do tipo não pertencem a outras T12xx categorias"
"General: bonus of a type not belonging to the other T08xx categories","Geral: tipo de bônus não pertencem a outras T08xx categorias"
"General: event not yet categorized","Geral: evento ainda não categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: tipo de taxa não pagamento não pertencem a outras T01xx categorias"
"General: received payment of a type not belonging to the other T00xx categories","Geral: tipo de pagamento recebido não pertencem a outras T00xx categorias"
"General: reversal of a type not belonging to the other T11xx categories","Geral: tipo de estorno não pertencem a outras T11xx categorias"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: tipo de seguro temporário não pertencem a outras T15xx categorias"
"Get Credentials from PayPal","Obter Credenciais do PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Certificado de Presente de Pagamento: comprado com Certificado de Presente"
"Gift Certificate Redemption","Certificado de Presente de Redenção"
"Gross Amount","Valor Bruto"
"Header Background Color","Cor de Fundo do Cabeçalho"
"Header Border Color","Cor da Borda do cabeçalho"
"Header Image URL","URL da Imagem de cabeçalho"
Help,Ajuda
"Hidden Virtual PayPal Debit Card Transaction","Ocultar Transação Virtual de Cartão de Débito PayPal"
"Hold for Dispute Investigation","Segurar para Investigação de Disputa"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio, o valor padrão será usado. URL Personalizada pode ser fornecida pelos termos do CardinalCommerce."
"If not specified, Default Country from General Config will be used","Se não informado, País Padrão das Configurações Gerais serão usados"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver habilitada, cliente poderá alterar o endereço de entrega e forma de envio no site do PayPal. No modo real o trabalho do protocolo se dá penas por HTTPS."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Se você não tiver vários usuários, configurar a sua conta, digite novamente seu Login do fornecedor/comerciante aqui."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossível realizar a transação de reembolso porque a transação de captura não existe."
Incentive,Incentivo
"Initiation Date","Data de Inicialização"
"Integral Evolution","Integral Evolution"
"Invoice ID","ID Fatura"
"Issuer Liability","Responsabilidade de quem envia"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","É recomendável colocar este valor como ""Débito ou Cartão de Crédito"" por visão de loja."
"It is recommended to set this value to ""PayPal"" per store views.","É recomendável colocar este valor como ""PayPal"" por visão de loja."
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"Last Correlation ID","ID última correlação"
"Last Transaction ID","ID da última transação"
"Learn More","Learn More"
Login,Entrar
"Mass Pay Payment","Pagamento em Massa"
"Matched (CVV2)","Combinado (CVV2)"
"Matched (CVV2CSC)","Combinado (CVV2CSC)"
"Matched Address only (no ZIP)","Combinado Apenas Endereço (sem CEP)"
"Matched Address only (no ZIP). International","Combinado endereço apenas (sem CEP). Internacional"
"Matched Postal Code only (no Address)","Combinado apenas o CEP (sem endereço)"
"Matched five-digit ZIP only (no Address)","Combinado apenas 5 dígitos do CEP (sem endereço)"
"Matched whole nine-didgit ZIP (no Address)","Combinado todos os 9 dígitos do CEP (sem endereço)"
"Merchant Account","Conta Empresário"
"Merchant Country","País Empresário"
"Merchant Liability","Responsabilidade do vendedor"
"Merchant Location","Comerciante local"
"Merchant Protection Eligibility","Legível proteção de vendedor"
"Merchant Referral Bonus","Bônus Referência Vendedor"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Titular da conta vendedor possui uma conta fora dos EUA e não possui um mecanismo de retirada."
"Merchant reference ID format is not supported.","Formato do ID de referência do vendedor não é suportado."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Comerciantes precisam criar uma conta no PayPal para habilitar esta opção de pagamento. Não disponibilize esta opção até que o PayPal confirme que sua conta está habilitada como uma conta vendedor."
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito por um telefone celular)"
N/A,N/A
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Endereço não marcado, ou comprador não responde. Serviço não disponível"
"N/A. Global Unavailable","N/A. Global Indisponível"
"N/A. International Unavailable","N/A. Internacional Não disponível"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Vendedor indicou um CVV2 que não está presente no cartão"
"N/A. No response","N/A. Nenhuma resposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Não permitido para MOTO (Internet/Fone) transações"
"N/A. Not processed","N/A. Não processado"
"N/A. Retry","N/A. Tentar novamente"
"N/A. Service not Supported","N/A. Serviço não suportado"
"N/A. Service not available","N/A. Serviço não disponível"
"N/A. Service not supported","N/A. Serviço não suportado"
"N/A. The merchant did not provide AVS information","N/A. O vendedor não forneceu informações para AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. O vendedor não criou o código de manipulação do CVV2"
"N/A. Unavailable","N/A. Indisponível"
"Negative Balance","Saldo Negativo"
Never,Nunca
No,Não
"No Details matched","Nenhum detalhe confere"
"No Details matched. International","Nenhum detalhe confere. Internacional"
"No Liability Shift","Nenhuma responsabilidade garantida"
"No Logo","No Logo"
"No match","Não confere"
"None of the address information matched","Nenhum dos endereços informados coincidem"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Não tenho certeza qual método de pagamento PayPal para usar? Clique <a href=""%s"" target=""_blank""> aqui</a> para saber mais."
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Nada recuperado porque a configuração está em branco."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Observe que o Paypal pode manipular até 10 opções de envio. É por isso que o Magento irá transferir apenas as 10 primeiras opções de envio mais barato, se houver mais de 10 disponíveis."
"Notified customer about creditmemo #%s.","Informar o cliente sobre o reembolso #%s."
"Notified customer about invoice #%s.","Informar o cliente sobre a fatura #%s."
"Now accepting PayPal (150 X 40)","PayPal agora aceita (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal agora aceita (150 X 60)"
"Number of Child Authorizations","Número de autorizações para crianças"
"Open Authorization","Abrir Autorização"
Order,Pedido
"Order ID","ID do Pedido"
"Order Valid Period (days)","Período fim válidos (dias)"
"Ordered amount of %s.","Quantidade encomendada de %s."
"Ordering amount of %s is pending approval on gateway.","Quantidade ordenação de %s está pendente de aprovação no gateway."
"Page Background Color","Cor de fundo da página"
"Page Style","Estilo da Página"
"Part of the address information matched","Parte do endereço informado verificado"
Partner,Parceiro
"Pasarela integral","Pasarela integral"
Password,Senha
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluções de pagamento PayPal-One <i>aceitar e processo de cartões de crédito e pagamentos PayPal.</i>"
"PayPal Balance Manager function of PayPal account","PayPal Função para Gerenciar Saldo da Conta PayPal"
"PayPal Billing Agreement Settings","Configurações de acordo de faturamento do PayPal"
"PayPal Buyer Warranty Bonus","PayPal Bônus de Garantia do Comprador"
"PayPal Debit Card Cash Advance","PayPal Avançado Dinheiro Cartão de Débito"
"PayPal Debit Card Withdrawal from ATM","PayPal Cartão Débito Retirada pelo ATM"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Atalho Pacote"
"PayPal Express Checkout Token does not exist.","PayPal Express Token de pagamento não existe."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout não está habilitado."
"PayPal Express Order Review Form","PayPal Express Formulário de Comentário de Pedido"
"PayPal Fee Information","PayPal Informações de Taxas"
"PayPal Merchant Pages Style","PayPal Estilos da Página do Vendedor"
"PayPal Payment Gateways","Gateways de pagamento PayPal"
"PayPal Payment Solutions","Soluções de pagamento PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal Logo do Produto"
"PayPal Protection Bonus","PayPal Proteção Bônus"
"PayPal Reference ID","PayPal ID de Referência"
"PayPal Reference ID Type","PayPal Tipo do ID de Referência"
"PayPal Settlement Reports","PayPal Relatórios de Liquidação"
"PayPal certificate does not exist.","PayPal certificado não existe."
"PayPal certificate file is empty.","PayPal arquivo certificado está vazio."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal não processa pedidos com valor total igual a zero. Para continuar sua compra, continue com processo de checkout padrão."
"PayPal gateway has rejected request. %s","PayPal gateway recusou a solicitação. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recomenda que você configure um usuário adicional em sua conta em manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recomenda que configurar um usuário adicional em sua conta em manager.paypal.com, em vez de inserir seu nome de usuário admin e a senha aqui. Isso melhorar a sua segurança e evitar interrupções de serviço se você posteriormente alterar sua senha. Se você não quiser configurar um usuário adicional, você pode inserir novamente seu Merchant Login aqui."
"PayPal response hasn't required fields.","PayPal retorno não requer campos."
"PayPal retains reports for 45 days.","PayPal armazena os relatórios por 45 dias."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicador"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa resultado do serviço de autenticação do pagador"
"Payer Address ID","endereço pagador ID"
"Payer Address Status","Status endereço pagador"
"Payer Email","Email do Pagador"
"Payer ID","ID do Pagador"
"Payer Status","Status do pagador"
"Payer is not identified.","Pagador não foi identificado."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (inclui o Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (inclui o Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro e Express Checkout"
"Payment Action","Ação de pagamento"
"Payment Applicable From","Pagamento aplicável a partir de"
"Payment Refund initiated by merchant","Pagamento de Reembolso inicializado pelo vendedor"
"Payment has been declined. Please try again.","Pagamento foi rejeitado. Tente novamente."
"Payment transactions disallow storing objects.","Operações de pagamento não permitir o armazenamento de objetos."
"Payments Advanced","Pagamentos avançados"
"Payments Advanced (Includes Express Checkout)","Pagamentos avançados (inclui o Express Checkout)"
"Payments Pro (Includes Express Checkout)","Pagamentos Pro (inclui o Express Checkout)"
"Payments Pro Hosted Solution","Pagamentos Pro solução hospedada"
"Payments Pro and Express Checkout","Pagamentos Pro e Express Checkout"
"Payments Standard","Norma de pagamentos"
"Payments by PayPal (150 X 40)","Pagamentos pelo PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos pelo PayPal (150 X 60)"
"Pending PayPal","PayPal Pendente"
"Place Order","Colocado no pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor aceite todos os termos e condições antes de continuar com o pedido."
"Please do not refresh the page until you complete payment.","Não atualize a página até terminar o pagamento."
"Please re-enable the previously enabled payment solutions.","Por favor, reative as soluções de pagamento previamente habilitado."
"Please select a shipping method...","Por favor selecione um método de entrega..."
"Please select region, state or province","Selecione um Estado..."
"Please update order data to get shipping methods and rates","Por favor, atualizar dados do pedido para obter métodos e taxas de envio"
"Points Incentive Redemption","Incentivo dos Pontos de Redenção"
"Postage Payment to either USPS or UPS","Franquias de Pagamento para USPS ou UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento Pré-Aprovado (BillUser API), tanto envio quanto recebimento"
"Preapproved Payment ID","ID Pagamento Pré-Aprovado"
Price,Preço
Pro,Pro
"Process payments using your own internet merchant account.","Process pagamentos usando sua própria conta de comerciante do internet."
"Product Name","Nome do Produto"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Porta"
Qty,Qtd
Reauthorization,Re-Autorização
"Reference Information","Informação de Referência"
"Refund issued by merchant.","Reembolso solicitado pelo vendedor."
"Reimbursement for a chargeback.","Reembolso para um chargeback."
"Reimbursement of Chargeback","Reembolso de Chargeback"
"Report Date","Relatório Data"
Reports,Relatórios
"Require CVV Entry","Entrada Obrigatória CVV"
"Require Customer's Billing Address","Requerem o endereço de facturação do cliente"
"Required PayPal Settings","Configurações necessárias do PayPal"
"Required Settings","Configurações necessárias"
Reversal,Reembolso
"Reversal of General Account Hold","Reembolso de Conta Geral Segurada"
"Reversal of Points Usage","Reembolso de Pontos de Uso"
"Reversal of an adjustment.","Reembolso de um ajustamento."
"Reversal of hold for Dispute Investigation","Reembolso de uma Investigação de Disputa Segurada"
"Review Order","Revisar pedido"
"Reward Voucher Redemption","Voucher de Recompensa Redenção"
"SFTP Credentials","SFTP Credenciais"
Sale,Venda
Sales,Vendas
"Same as shipping","Mesmo que o transporte marítimo"
"Sandbox Credentials","Credenciais Sandbox"
"Sandbox Mode","Modo Sandbox"
Schedule,Agenda
"Schedule description is too long.","Descrição da Agenda é muito longa."
"Scheduled Fetching","Busca Agendada"
"Select a Payment Solution","Selecione uma solução de pagamento"
"Send Email Confirmation","Enviar E-mail de confirmação"
"Server Error. Please try again.","Erro do servidor. Por favor, tente novamente."
"Settlement Consolidation","Consolidação de Liquidação"
"Settlement Report Settings","Configurações do Relatório de Liquidação"
"Settlement of a chargeback.","Liquidação para um chargeback."
"Severe 3D Secure Card Validation","Forte validação de cartão usando 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Validação Completa Remove Responsabilidade Chargeback do Vendedor"
"Severe validation removes chargeback liability on merchant.","Validação completa remove responsabilidade chargeback do vendedor."
Shipping,Entrega
"Shipping Address","Endereço de Entrega"
"Shipping Method","Forma de Entrega"
"Shop now using (150 X 40)","Comprar agora usando (150 X 40)"
"Shop now using (150 X 60)","Comprar agora usando (150 X 60)"
Shortcut,Atalho
"Shortcut Buttons Flavor","Sabor do Botão de Atalho"
"Shortcut on Product View","Atalho na Visualização do Produto"
"Shortcut on Shopping Cart","Atalha no Carrinho de Compras"
"Sign a billing agreement to streamline further purchases with PayPal.","Cadastre-se para agilizar o faturamento da suas compras com PayPal."
Solo,Solo
"Some PayPal solutions conflict.","Algum conflito de soluções do PayPal."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação disponível para este pedido no momento."
"Sort Order",Ordem
"Specifies what the Authorization Honor Period is on the merchantâs PayPal account. It must mirror the setting in PayPal.","Especifica qual o período de honra de autorização é a conta do PayPal do comerciante. Ele deve espelhar a configuração no PayPal."
"Specifies what the Order Valid Period is on the merchantâs PayPal account. It must mirror the setting in PayPal.","Especifica qual o período válido da ordem é a conta do PayPal do comerciante. Ele deve espelhar a configuração no PayPal."
State/Province,Estado
Static,Estático
"Street Address",Rua
"Street Address %s","Rua %s"
"Submitting order information...","Enviando informações do pedido..."
"Subscriber name is too long.","Nome do assinante é muito grande."
"Subscription ID","ID do Assinante"
"Subscription Payment, either payment sent or payment received","Assinatura de Pagamento, para envio de pagamentos ou recebimento de pagamento"
Subtotal,Subtotal
"Summary Text for Aggregated Cart","Resumo do texto para aceitar carrinho"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Suporte ao cartão American Express requer termos adicionais. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
Switch/Maestro,Switch/Maestro
Telephone,Telefone
"Test Mode","Modo Teste"
"The background color for the checkout page around the header and payment form.","A cor de fundo da página de pagamento ao redor do cabeçalho e formulário de pagamento."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor de fundo da página do cabeçalho de pagamento. Seis caracteres HTML hexadecimal código da cor em ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O número padrão de autorizações criança em sua conta PayPal é 1. Para fazer autorizações múltiplas entre em contato com PayPal para pedir um aumento."
"The following error(s) occured:","O seguinte erro:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","A imagem no alto a esquerda da página de pagamento. Tamanho máximo 750x90-pixels. <strong style=""color:red"">https</strong> é altamente recomendável"
"The maximum number of child authorizations is reached.","O número máximo de autorizações de criança é atingida."
"The merchant account is not yet verified.","A conta do vendedor ainda não foi verificada."
