%s,%s
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --",Selecione...
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Código do Website precisa conter apenas letras (a-z), números (0-9) ou underline(_), primeiro campo precisa ser uma letra"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Final de Semana"
"Welcome Text","Mensagem de Boas-Vindas"
"Wrong file info format","Erro na informação de formato do arquivo"
"Wrong number of arguments for %s","Número errado para os argumentos em %s"
"Wrong old style column type definition: {$definition}.","Errado velho estilo definição do tipo de coluna: {$} definição."
Yes,Sim
"You will have to log in after you save your custom admin path.","Você terá que fazer o login depois de salvar o seu caminho administrativo personalizado."
"Your design change for the specified store intersects with another one, please specify another date range.","Suas alterações de tema para a loja indicado batem com outra loja, informe outro intervalo de datas."
"database ""%s""","banco de dados ""%s"""
