%s,%s
"ACL Attribute Rules","Regras de atributo ACL"
"Use Config Settings for Allow Gift Wrapping","Usar configurações de configuração para permitirem quebra automática de Dom"
"Use Config Settings for Backorders","Usar configurações de configuração para ordens pendentes"
"Use Config Settings for Enable Qty Increments","Usar configurações de configuração para habilitar Quant incrementos"
"Use Config Settings for Manage Stock","Usar configurações de configuração para gerenciar estoque"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Usar definições de Config para Quant máxima permitida no carrinho de compras"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Usar definições de Config para Qty mínima permitida no carrinho de compras"
"Use Config Settings for Notify for Quantity Below","Usar configurações de Config para notificar para quantidade abaixo"
"Use Config Settings for Qty Increments","Usar configurações de configuração para incrementos Quant"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Usar definições de Config para Quant de Status do Item para tornar-se fora de estoque"
"User Type","Tipo de usuário"
"User type ""%s"" no longer exists","Tipo de usuário ""%s"" não existe mais"
"User type ""%s"" not found.","Tipo de usuário ""%s"" não encontrado."
"Web Services","Web Services"
"Web services","Serviços Web"
Write,Gravação
"ZIP/Postal Code","CEP/Código Postal"
